user,total_format,like_cnt,repost_cnt,comment_cnt,profile_url,full_profile_url,attitudes_count,comments_count,reposts_count,region_name,text_raw,created_at,h5_url,follower_count,weibo_count,hot_weibo_count,hot_weibo_likes
笙南,"https://tvax4.sinaimg.cn/crop.0.0.512.512.180/0046UZJMly8hshfmtk12aj60e80e8mx702.jpg?KID=imgbed,tva&Expires=1728625501&ssig=8P9O%2BDRHj7",1.32亿,97021466,21731698,12975556,https://weibo.com/u/3766773034,5237,1111,2537,发布于 河北,"#何广智哈妮克孜日常斗嘴#

@武艺 一家为了答谢非震式旅行社，一大早就开始准备早餐，@哈妮克孜 询问 @武星好评 是否需要帮忙，得到的回答是不用，于是哈妮克孜和何广智又开始了日常斗嘴。

何广智：我就直接坐下了。哈妮，你是不是把自己……
哈妮克孜：怎么~
何广智：没事儿~
哈妮克孜：你是不是把你 ​",Fri Oct 11 09:24:46 +0800 2024,https://video.weibo.com/show?fid=1034:5088220556492807,8939360,357,45,1749916
北岛,"https://tvax3.sinaimg.cn/crop.0.0.750.750.180/006MaaAOly8ga5r1705c4j30ku0ku3z3.jpg?KID=imgbed,tva&Expires=1728625501&ssig=cZVUvn4esR",4800万,11586114,34949741,1464562,https://weibo.com/u/6208485122,5257,1103,2640,发布于 河北,"#刘震云 武艺一家学会了虚张声势# 

@武艺 一家为了答谢非震式旅行社得招待，本来打算给大家一人买一块手表，没想到太贵了，决定做一份早餐答谢大家，刘震云辣评：感情是不是真挚的不知道虚张声势确实是真的，小题大做。孟非表示学到了。

武力：我们本来准备给大家一人买块手表，后来发现太贵了，因地 ​",Fri Oct 11 09:02:22 +0800 2024,暂无视频,2175657,621,27,1231650
笙南,"https://tvax4.sinaimg.cn/crop.0.0.512.512.180/0046UZJMly8hshfmtk12aj60e80e8mx702.jpg?KID=imgbed,tva&Expires=1728625501&ssig=8P9O%2BDRHj7",1.32亿,97021466,21731698,12975556,https://weibo.com/u/3766773034,5280,1112,2820,发布于 河北,"#原来喂药不是非得嘴对嘴#

看多了国产剧男女主嘴对嘴喂药的方式，突然发现原来喂药不是非得嘴对嘴啊！

霍展白在夺七叶明芝时中毒，毒发之前还信誓旦旦地说相信薛紫夜肯定能救他，下一秒毒蟾砂毒性侵入身体就倒地不起了，薛紫夜为了救他，还嘱咐霜红秘密药方，药师谷全部人都忙活着给他煎药。这一套治 ​",Fri Oct 11 09:00:49 +0800 2024,暂无视频,20777207,359,91,2114554
-Bruh,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/00674UgVly8gp6m9dihjfj30u00u0mz0.jpg?KID=imgbed,tva&Expires=1728625501&ssig=rQExZrNn6k",4918.7万,40730352,6147224,2309614,https://weibo.com/u/5601400969,5698,541,4073,发布于 四川,"#洪承汉将11月回归RIIZE# 我靠？？RIIZE官推更新 洪承汉将于11月回归RIIZE！！ #洪承汉恢复活动# 

以下为机翻

想小心翼翼地向粉丝们讲述成员承汉的回归及RIIZE的活动方向。 

正如粉丝们所知,出道前因为私生活问题, 承汉中断组合活动已经约10个月了。 承汉承认自己过去的行为是错误的, 对成员和粉丝 ​",Fri Oct 11 09:10:31 +0800 2024,暂无视频,3419328,170,31,4291171
新华社,"https://tvax2.sinaimg.cn/crop.58.61.875.875.180/001R0E0aly8h8vg6xx3srj60rs0rsdko02.jpg?KID=imgbed,tva&Expires=1728625501&ssig=45Xx%2FaSl2P",4.17亿,246954393,147488663,22984169,https://weibo.com/u/1699432410,10061,1707,1332,暂无地区信息,【#刘宇献唱九九重阳节#】“九月初九唤重阳，金秋飒爽煮酒香，登高赏菊添童趣，夕归暮晚敬高堂。”@刘宇Yu_ 演绎歌曲《久久》，歌声里的重阳满是思念。一起来听↓#重阳节别忘给父母打个电话#（央视新闻） http://t.cn/A6EQBl3C ​,Fri Oct 11 09:10:10 +0800 2024,https://video.weibo.com/show?fid=1034:5088215841832993,4081509,199,0,0
甄心忙果_,"https://tvax2.sinaimg.cn/crop.88.106.930.930.180/008eZAxIly8gmnld3ya3ej30u00y80wv.jpg?KID=imgbed,tva&Expires=1728625501&ssig=1p4lvIqYn%2B",2365万,21795714,632631,1221924,https://weibo.com/u/7550609842,8349,312,194,发布于 广东,"#Jennie新歌# JENNIE『Mantra』音源空降
Melon Top100：41
Melon实时：因规则无法空降
Genie：因规则无法空降
Bugs：因规则无法空降
Melon首小时收听：10,924
Melon首小时点赞：4,238

实时榜因为规则限制无法空降榜单，直到中午12点之前，在所有实时榜单上都不会看到这首歌曲！(Melon TOP100除外) ​",Fri Oct 11 09:03:08 +0800 2024,暂无视频,2576153,273,38,4578776
中国妇女报,"https://tvax4.sinaimg.cn/crop.0.0.600.600.180/9b57bbe2ly8hrz97ww3zdj20go0go3zg.jpg?KID=imgbed,tva&Expires=1728625501&ssig=nwEgTg203T",5130.9万,41747760,6352418,3209196,https://weibo.com/u/2606218210,12654,816,704,暂无地区信息,【#陈丽君获中法传统文化交流大使称号#】10月10日18时，法国戴高乐机场1号航站楼，陈丽君受邀出席中法建交60周年 · 法中文化旅游年活动，现场向陈丽君颁发中法传统文化交流大使和巴黎机场热情好客大使的称号。（中国蓝新闻） http://t.cn/A6EQhDie ​,Fri Oct 11 09:17:16 +0800 2024,https://video.weibo.com/show?fid=1034:5088008953856030,7930709,335,22,1275479
李肉肉日食记,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/7df210f5ly8hkr6433l5gj20u00u0tao.jpg?KID=imgbed,tva&Expires=1728625501&ssig=pBtTbuKAMi",528万,3670336,582718,1027086,https://weibo.com/u/2113016053,2532,52,30,发布于 广东,"重阳节当然少不了美味小糕点啦~
安排坚果饼干➕双层酥饼与家人分享吧🥰
#美味话重阳##微博尝鲜计划##重阳赏秋记#http://t.cn/A6Vk5fXK ​",Fri Oct 11 09:24:30 +0800 2024,https://video.weibo.com/show?fid=1034:4646777840926748,9264723,335,0,0
韩国me2day,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/93f8d29dly8gdpvdh40a3j20u00u1juu.jpg?KID=imgbed,tva&Expires=1728625501&ssig=mAv7zD%2FmHJ",20.68亿,1674232954,173259269,220217530,https://weibo.com/u/2482557597,3971,540,1542,发布于 河南,【Twi】RIIZE发布公告: 洪承汉将回归RIIZE，将依次参加11月计划的部分团队日程 #洪承汉[超话]# ​​​,Fri Oct 11 09:17:29 +0800 2024,暂无视频,4136598,877,17,1884097
Vlinkage,"https://tva1.sinaimg.cn/crop.0.0.180.180.180/79aba393jw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1728625501&ssig=D2Yls0i7Bp",5.82亿,547564663,19366773,15457162,https://weibo.com/u/2041291667,5296,247,78,暂无地区信息,10月10日 #剧集角色新媒体指数#Top 20：卫昭|萧无瑕/流水迢迢、霍展白/七夜雪、薛紫夜/七夜雪、林少白/暗夜与黎明、罗宜宁/锦绣安宁、何知南/半熟男女、罗慎远/锦绣安宁、江慈/流水迢迢、蒋时延/舍不得星星、郑北/雪迷宫分列前十。 ​,Fri Oct 11 09:04:00 +0800 2024,暂无视频,4949572,278,18,4099451
江苏卫视,"https://tvax2.sinaimg.cn/crop.0.0.500.500.180/001ICKA4ly8hkskoxkr1bj60dw0dwt8w02.jpg?KID=imgbed,tva&Expires=1728625504&ssig=MQW1oACukd",8518.9万,59949688,18075172,7164632,https://weibo.com/u/1575527140,4674,565,1029,暂无地区信息,#RED官宣音乐缘计划##音乐缘计划#赤色热情如火，音乐初心不改，@RED_OFFICIAL_ 已准备就绪！她们将以满腔的热忱和真挚的情感，用音符编织出一个个璀璨的瞬间。在即将到来的节目中，她们将带来怎样令人期待的作品？锁定@江苏卫视 &@爱奇艺 ，一起来感受她们舞台上的无限魅力！ ​,Fri Oct 11 09:03:29 +0800 2024,暂无视频,4206641,211,51,1642729
闪闪小小酥,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/e944919cly8hjx1fcriolj20u00u0dhn.jpg?KID=imgbed,tva&Expires=1728625504&ssig=O2X0%2BFZRvn",1638.6万,2658920,12916875,809993,https://weibo.com/u/3913585052,1126,167,483,发布于 上海,"✨闪闪的探店日记✨
📍小湘汇

想了很久来长沙一定要打卡的餐厅！！没看到刘小策但是和长沙韩素希合了影🥹她人好好！！
重点安利这道小刘楠！特别特别软糯的土豆牛腩，巨下饭👍底下还有鸡蛋，感觉是湘菜灵魂[二哈]还有据说之前是他们员工餐的牛蛙，因为员工觉得太好吃所以上了菜单，很辣但是好吃 ​",Fri Oct 11 09:30:18 +0800 2024,暂无视频,2400404,345,22,3503420
